"","lon","lat","address","zip","city","state","x2020_01","quartile","state_name","region","division"
"646",-86.3669061,39.7159158,"3724 shady ln, plainfield, in 46168, usa","46168","Plainfield","IN",212353,"q3","Indiana","Midwest","East North Central"
"647",-97.1571741,33.230628,"2030 w university dr, denton, tx 76201, usa","76201","Denton","TX",202398,"q3","Texas","South","West South Central"
"648",-118.3098092,34.0442066,"1535 s western ave, los angeles, ca 90019, usa","90019","Los Angeles","CA",1092878,"q4","California","West","Pacific"
"649",-77.0955218,35.1037788,"560 mccarthy blvd store 560, new bern, nc 28562, usa","28562","New Bern","NC",192050,"q3","North Carolina","South","South Atlantic"
"650",-94.144498,36.3013151,"s dixieland rd, rogers, ar 72758, usa","72758","Rogers","AR",248181,"q3","Arkansas","South","West South Central"
"651",-81.4331777,26.4241171,"400 n 15th st, immokalee, fl 34142, usa","34142","Immokalee","FL",194422,"q3","Florida","South","South Atlantic"
"652",NA,NA,NA,NA,NA,NA,NA,"q4",NA,NA,NA
"653",-90.0424043,32.2846217,"5708 us-80, pearl, ms 39208, usa","39208","Pearl","MS",140065,"q2","Mississippi","South","East South Central"
"654",-118.394698,33.9714025,"7600 s sepulveda blvd, los angeles, ca 90045, usa","90045","Los Angeles","CA",1197634,"q4","California","West","Pacific"
"655",-87.9133688,30.6429539,"28691 us-98 suite a, daphne, al 36526, usa","36526","Daphne","AL",211448,"q3","Alabama","South","East South Central"
"656",-75.2202448,39.979834,"5050 parkside ave, philadelphia, pa 19131, usa","19131","Philadelphia","PA",134024,"q2","Pennsylvania","Northeast","Middle Atlantic"
"657",-81.6254041,30.1200997,"456 state rd 13, fruit cove, fl 32259, usa","32259","Fruit Cove","FL",349540,"q4","Florida","South","South Atlantic"
"658",-91.035,41.4473687,"427 lake park blvd, muscatine, ia 52761, usa","52761","Muscatine","IA",130567,"q2","Iowa","Midwest","West North Central"
"659",-70.3952169,43.6813423,"34 hutcherson dr, gorham, me 04038, usa","04038",NA,NA,NA,"q4",NA,NA,NA
"660",-85.1455128,41.1165312,"4122 lima rd, fort wayne, in 46805, usa","46805","Fort Wayne","IN",105385,"q1","Indiana","Midwest","East North Central"
