"","zip","city","state","metro","county_name","x2020_01"
"12789","8735","Lavallette","NJ","New York-Newark-Jersey City","Ocean County",596801
"12790","55604","Grand Marais","MN","","Cook County",271094
"12791","60957","Paxton","IL","Champaign-Urbana","Ford County",92101
"12792","61610","Creve Coeur","IL","Peoria","Tazewell County",72135
"12793","97133","North Plains","OR","Portland-Vancouver-Hillsboro","Washington County",429290
"12794","95623","El Dorado","CA","Sacramento--Roseville--Arden-Arcade","El Dorado County",445742
"12795","31569","Woodbine","GA","St. Marys","Camden County",192062
"12796","31328","Tybee Island","GA","Savannah","Chatham County",475108
"12797","82443","Thermopolis","WY","","Hot Springs County",159343
"12798","35147","Chelsea","AL","Birmingham-Hoover","Shelby County",203172
"12799","96741","Kalaheo","HI","Kapaa","Kauai County",677520
"12800","49451","Ravenna","MI","Muskegon","Muskegon County",167191
"12801","47220","Brownstown","IN","Seymour","Jackson County",155939
"12802","63834","Charleston","MO","","Mississippi County",78533
"12803","70342","Berwick","LA","Morgan City","Saint Mary Parish",159554
"12804","75459","Howe","TX","Sherman-Denison","Grayson County",204493
"12805","95321","Groveland","CA","Sonora","Tuolumne County",269539
"12806","74073","Sperry","OK","Tulsa","Tulsa County",137420
"12807","3860","Conway","NH","","Carroll County",257167
"12808","35760","New Hope","AL","Huntsville","Madison County",137256
"12809","19025","Upper Dublin Township","PA","Philadelphia-Camden-Wilmington","Montgomery County",453130
"12810","96137","Westwood","CA","","Plumas County",293336
"12811","37616","Greeneville","TN","Greeneville","Greene County",125780
"12812","47043","Vevay","IN","","Switzerland County",119571
"12813","64633","Carrollton","MO","","Carroll County",78331
"12814","72529","Cherokee Village","AR","","Sharp County",69817
"12815","36352","Newton","AL","Dothan","Houston County",138959
"12816","67101","Maize","KS","Wichita","Sedgwick County",210417
"12817","22947","Keswick","VA","Charlottesville","Albemarle County",495957
"12818","49285","Stockbridge","MI","Lansing-East Lansing","Ingham County",185582
"12819","89451","Incline Village","NV","Reno","Washoe County",869984
"12820","98349","Lakebay","WA","Seattle-Tacoma-Bellevue","Pierce County",347376
"12821","70591","Welsh","LA","Jennings","Jefferson Davis Parish",107572
"12822","17569","West Cocalico Township","PA","Lancaster","Lancaster County",242353
"12823","17322","Chanceford Township","PA","York-Hanover","York County",210188
"12824","75410","Alba","TX","","Wood County",187813
"12825","78384","San Diego","TX","","Duval County",146713
"12826","14070","Gowanda","NY","Olean","Cattaraugus County",85826
"12827","19567","Womelsdorf","PA","Reading","Berks County",187675
"12828","60408","Braidwood","IL","Chicago-Naperville-Elgin","Will County",175741
"12829","12883","Town of Ticonderoga","NY","","Essex County",142322
"12830","65441","Sullivan","MO","","Washington County",138181
"12831","45830","Columbus Grove","OH","","Putnam County",147673
"12832","83869","Spirit Lake","ID","Coeur d'Alene","Kootenai County",334142
"12833","51555","Missouri Valley","IA","Omaha-Council Bluffs","Harrison County",134842
"12834","93265","Springville","CA","Visalia-Porterville","Tulare County",330767
"12835","50324","Windsor Heights","IA","Des Moines-West Des Moines","Polk County",210229
"12836","19066","Lower Merion Township","PA","Philadelphia-Camden-Wilmington","Montgomery County",734693
"12837","15342","McGovern","PA","Pittsburgh","Washington County",172498
"12838","4083","Springvale","ME","Portland-South Portland","York County",200040
"12839","32352","Quincy","FL","Tallahassee","Gadsden County",117486
"12840","31634","Homerville","GA","","Clinch County",82487
"12841","33158","Village of Palmetto Bay","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",671846
"12842","4426","Dover-Foxcroft","ME","","Piscataquis County",120597
"12843","68822","Broken Bow","NE","","Custer County",122311
"12844","52730","Camanche","IA","Clinton","Clinton County",144458
"12845","55358","Maple Lake","MN","Minneapolis-St. Paul-Bloomington","Wright County",243244
"12846","5465","Jericho","VT","Burlington-South Burlington","Chittenden County",365995
"12847","34269","Arcadia","FL","Arcadia","De Soto County",188048
"12848","83660","Parma","ID","Boise City","Canyon County",271448
"12849","85933","Overgaard","AZ","Show Low","Navajo County",223007
"12850","72650","Marshall","AR","","Searcy County",85242
"12851","98359","Olalla","WA","Bremerton-Silverdale","Kitsap County",475739
"12852","71082","Vivian","LA","Shreveport-Bossier City","Caddo Parish",64878
"12853","51108","Sioux City","IA","Sioux City","Woodbury County",155471
"12854","74441","Hulbert","OK","Tahlequah","Cherokee County",104323
"12855","46164","Princes Lakes","IN","Indianapolis-Carmel-Anderson","Johnson County",214018
"12856","94304","Palo Alto","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",3220770
"12857","47390","Union City","IN","","Randolph County",74913
"12858","89820","Battle Mountain","NV","","Lander County",203643
"12859","13118","Town of Moravia","NY","Auburn","Cayuga County",142970
"12860","31092","Vienna","GA","","Dooly County",86345
"12861","21722","Clear Spring","MD","Hagerstown-Martinsburg","Washington County",242733
"12862","17053","Marysville","PA","Harrisburg-Carlisle","Perry County",186359
"12863","47330","Centerville","IN","Richmond","Wayne County",128245
"12864","12123","Town of Nassau","NY","Albany-Schenectady-Troy","Rensselaer County",194942
"12865","2538","White Island Shores","MA","Boston-Cambridge-Newton","Plymouth County",276995
"12866","39740","Caledonia","MS","Columbus","Lowndes County",154474
"12867","80514","Dacono","CO","Greeley","Weld County",337550
"12868","13407","Town Of German Flatts","NY","Utica-Rome","Herkimer County",104289
"12869","62263","Nashville","IL","","Washington County",122820
"12870","51351","Milford","IA","Spirit Lake","Dickinson County",215535
"12871","21755","Jefferson","MD","Washington-Arlington-Alexandria","Frederick County",385541
"12872","36451","Grove Hill","AL","","Clarke County",97423
"12873","6441","Higganum","CT","Hartford-West Hartford-East Hartford","Middlesex County",289760
"12874","45381","West Alexandria","OH","","Preble County",147373
"12875","79536","Merkel","TX","Abilene","Taylor County",95261
"12876","37307","Benton","TN","Cleveland","Polk County",136875
"12877","72744","Lincoln","AR","Fayetteville-Springdale-Rogers","Washington County",140812
"12878","3862","North Hampton","NH","Boston-Cambridge-Newton","Rockingham County",560983
"12879","29692","Ware Shoals","SC","Greenville-Anderson-Mauldin","Laurens County",45381
"12880","72417","Brookland","AR","Jonesboro","Craighead County",140343
"12881","95722","Meadow Vista","CA","Sacramento--Roseville--Arden-Arcade","Placer County",522700
"12882","93234","Huron","CA","Fresno","Fresno County",152510
"12883","37711","Bulls Gap","TN","Kingsport-Bristol-Bristol","Hawkins County",104273
"12884","7662","Rochelle Park","NJ","New York-Newark-Jersey City","Bergen County",392880
"12885","18507","Moosic","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna County",163642
"12886","76305","Wichita Falls","TX","Wichita Falls","Wichita County",132960
"12887","55037","Hinckley","MN","","Pine County",164133
"12888","54110","Brillion","WI","Appleton","Calumet County",183336
"12889","29591","Scranton","SC","Florence","Florence County",77894
"12890","53508","Belleville","WI","Madison","Dane County",237707
"12891","55388","Watertown","MN","Minneapolis-St. Paul-Bloomington","Carver County",276669
"12892","35772","Stevenson","AL","Scottsboro","Jackson County",97377
"12893","7072","Carlstadt","NJ","New York-Newark-Jersey City","Bergen County",424230
"12894","75491","Whitewright","TX","Sherman-Denison","Grayson County",201632
"12895","83336","Heyburn","ID","Burley","Minidoka County",181553
"12896","31804","Cataula","GA","Columbus","Harris County",244693
"12897","74937","Heavener","OK","Fort Smith","LeFlore County",54373
"12898","6073","Glastonbury","CT","Hartford-West Hartford-East Hartford","Hartford County",389727
