"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"115",115,-77.4724126,37.9065313,NA,"24073","Christiansburg","VA","Blacksburg-Christiansburg-Radford","Montgomery County",194145,"q3",3,"255 peppers ferry rd ne, christiansburg, va 24073, usa","South"
"116",116,-122.2289685,37.7786889,NA,"21228","Catonsville","MD","Baltimore-Columbia-Towson","Baltimore County",315166,"q4",3,"6600 baltimore national pike, catonsville, md 21228, usa","South"
"117",117,-121.4787342,38.4092651,NA,"46805","Fort Wayne","IN","Fort Wayne","Allen County",105385,"q1",3,"4122 lima rd, fort wayne, in 46805, usa","Midwest"
"118",118,-81.1542432,34.093988,NA,"22630","Front Royal","VA","Washington-Arlington-Alexandria","Warren County",231547,"q3",3,"280 remount rd, front royal, va 22630, usa","South"
"119",119,-84.9370001,33.7293696,NA,"59715","Bozeman","MT","Bozeman","Gallatin County",570997,"q4",3,"simmental way, bozeman, mt 59715, usa","West"
"120",120,-121.2833102,38.1140519,NA,"80916","Colorado Springs","CO","Colorado Springs","El Paso County",253440,"q3",3,"2855 s academy blvd, colorado springs, co 80916, usa","West"
"121",121,-92.0496332,30.2121102,NA,"75212","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",167246,"q3",3,"3020 n westmoreland rd, dallas, tx 75212, usa","South"
"122",122,-82.9418371,40.058369,NA,"61108","Rockford","IL","Rockford","Winnebago County",97055,"q1",3,"4618 e state st, rockford, il 61108, usa","Midwest"
"123",123,-94.8783414,36.8820451,NA,"90045","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1197634,"q4",3,"6933 la tijera blvd, los angeles, ca 90045, usa","West"
"124",124,-77.002422,38.9049452,NA,"33187","Richmond West","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",395123,"q4",3,"19120 sw 177th ave, miami, fl 33187, usa","South"
"125",125,-73.778817,40.9164914,NA,"30080","Smyrna","GA","Atlanta-Sandy Springs-Roswell","Cobb County",304221,"q4",3,"3205 s cobb dr se, smyrna, ga 30080, usa","South"
"126",126,-93.7349404,41.6575193,NA,"30346","Dunwoody","GA","Atlanta-Sandy Springs-Roswell","Dekalb County",355440,"q4",3,"1165 perimeter center w, atlanta, ga 30346, usa","South"
"127",127,-82.8580888,41.5207757,NA,"46240","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",258062,"q3",3,"1520 e 86th st, indianapolis, in 46240, usa","Midwest"
