"","zip","state","state_name","city","x2020_01","region","division"
"457","60056","IL","Illinois","Mount Prospect",308662,"Midwest","East North Central"
"458","32608","FL","Florida","Gainesville",231401,"South","South Atlantic"
"459","90631","CA","California","La Habra",619881,"West","Pacific"
"460","31907","GA","Georgia","Columbus",94407,"South","South Atlantic"
"461","30263","GA","Georgia","Newnan",195675,"South","South Atlantic"
"462","92104","CA","California","San Diego",587287,"West","Pacific"
"463","77375","TX","Texas","Tomball",228782,"South","West South Central"
"464","20852","MD","Maryland","North Bethesda",479489,"South","South Atlantic"
"465","37421","TN","Tennessee","Chattanooga",218589,"South","East South Central"
"466","60637","IL","Illinois","Chicago",150506,"Midwest","East North Central"
"467","92647","CA","California","Huntington Beach",777947,"West","Pacific"
"468","63021","MO","Missouri","Ballwin",265817,"Midwest","West North Central"
"469","37129","TN","Tennessee","Murfreesboro",267563,"South","East South Central"
"470","87124","NM","New Mexico","Rio Rancho",199777,"West","Mountain"
"471","30906","GA","Georgia","Augusta",80654,"South","South Atlantic"
"472","32792","FL","Florida","Winter Park",268054,"South","South Atlantic"
"473","20020","DC","District of Columbia","Washington",391117,"South","South Atlantic"
"474","33511","FL","Florida","Brandon",233301,"South","South Atlantic"
"475","15301","PA","Pennsylvania","Washington",173270,"Northeast","Middle Atlantic"
"476","85204","AZ","Arizona","Mesa",242030,"West","Mountain"
"477","92154","CA","California","San Diego",502758,"West","Pacific"
