"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"3981",-86.1096883,40.0405938,"17404 carey rd, westfield, in 46074, usa","46074","Westfield","IN","Indianapolis-Carmel-Anderson","Hamilton County",323312
"3982",-79.9908875,37.7804489,"1252 s craig ave, covington, va 24426, usa","24426","Covington","VA","","Alleghany County",90502
"3983",-122.5862441,45.3317791,"1809 molalla ave, oregon city, or 97045, usa","97045","Oregon City","OR","Portland-Vancouver-Hillsboro","Clackamas County",441528
"3984",-81.2435366,42.9794342,"255 horton st e, london, on n6b 1l1, canada","canada",NA,NA,NA,NA,NA
"3985",-118.3690011,33.8726176,"2318 artesia blvd, redondo beach, ca 90278, usa","90278","Redondo Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1008480
"3986",-81.1542432,34.093988,"7138 broad river rd, irmo, sc 29063, usa","29063","Irmo","SC","Columbia","Richland County",173265
"3987",-81.3686233,40.7947459,"818 mulberry rd se, canton, oh 44707, usa","44707","Canton","OH","Canton-Massillon","Stark County",59009
"3988",-80.899513,34.10667,"9810 two notch rd, columbia, sc 29223, usa","29223","Columbia","SC","Columbia","Richland County",139595
"3989",-81.4834203,31.2133972,"249 village at glynn pl, brunswick, ga 31525, usa","31525","Brunswick","GA","Brunswick","Glynn County",162607
"3990",-81.0647726,35.5570221,"6113 nc-16, denver, nc 28037, usa","28037","Denver","NC","Charlotte-Concord-Gastonia","Lincoln County",366132
"3991",-78.5597858,41.4288641,"31 erie ave store 31, st marys, pa 15857, usa","15857","Saint Marys","PA","St. Marys","Elk County",100988
"3992",-104.8604776,38.846221,"2324 w colorado ave, colorado springs, co 80904, usa","80904","Colorado Springs","CO","Colorado Springs","El Paso County",318874
"3993",-84.1130216,33.8220409,"1450 e park pl blvd, stone mountain, ga 30087, usa","30087","Stone Mountain","GA","Atlanta-Sandy Springs-Roswell","Dekalb County",220374
"3994",-82.0579729,33.5155663,"3179 washington rd, augusta, ga 30907, usa","30907","Martinez","GA","Augusta-Richmond County","Columbia County",167848
"3995",-76.075858,38.7767846,"134 n washington st, easton, md 21601, usa","21601","Easton","MD","Easton","Talbot County",290500
"3996",-76.00164,40.9918786,"296 airport rd, hazle township, pa 18202, usa","18202","Hazle Township","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne County",136665
"3997",-81.0420922,29.204663,"112 n nova rd, daytona beach, fl 32114, usa","32114","Daytona Beach","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County",122218
"3998",-114.5969237,35.0885657,"2670 az-95, bullhead city, az 86442, usa","86442","Bullhead City","AZ","Lake Havasu City-Kingman","Mohave County",168522
"3999",-95.4378791,29.7378741,"3729 w alabama st, houston, tx 77027, usa","77027","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",636741
"4000",-81.7162591,30.4381261,"4234 dunn ave, jacksonville, fl 32218, usa","32218","Jacksonville","FL","Jacksonville","Duval County",194432
"4001",-121.6262597,39.1120919,"1000 lincoln rd, yuba city, ca 95991, usa","95991","Yuba City","CA","Yuba City","Sutter County",285832
"4002",-73.1607806,44.4493489,"south burlington, vt 05403, usa","05403",NA,NA,NA,NA,NA
"4003",-122.0292715,36.9756971,"204 union st, santa cruz, ca 95060, usa","95060","Santa Cruz","CA","Santa Cruz-Watsonville","Santa Cruz County",930531
"4004",-80.3460349,26.0585856,"4845 sw 148th ave, southwest ranches, fl 33331, usa","33331","Weston","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",510124
"4005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4006",-82.006955,26.598009,"chiquita blvd s, cape coral, fl 33914, usa","33914","Cape Coral","FL","Cape Coral-Fort Myers","Lee County",294268
"4007",-69.8101755,44.3397193,"347 leighton rd, augusta, me 04330, usa","04330",NA,NA,NA,NA,NA
